Unnamed: 0,NRO_HOGAR,COMPONENTE,H15,ANO4,TRIMESTRE,REGION,AGLOMERADO,PONDERA,CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH16,ESTADO,CAT_OCUP,CAT_INAC,PP02E,PP02H,PP07I,PP07H,PP04B1,DECINDR,T_VI,NIVEL_ED,V2_M,REALIZADA,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II4_1,II4_2,II4_3,II7,II8,II9,V1,V2,V21,V22,V3,V5,V6,V7,V8,V11,V12,V13,V14,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECCFR,REALIZADA_jefx,CH04_jefx,CH06_jefx,ESTADO_jefx,NIVEL_ED_jefx,PP02E_jefx,CAT_OCUP_jefx,PP07I_jefx,PP07H_jefx,PP04B1_jefx,REALIZADA_conyuge,CH04_conyuge,ESTADO_conyuge,JEFE_TRABAJA,CONYUGE_TRABAJA,JEFA_MUJER,HOGAR_MONOP,ratio_ocupados,NBI_SUBSISTENCIA,NBI_COBERTURA_PREVISIONAL,NBI_DIFLABORAL,NBI_HACINAMIENTO,NBI_SANITARIA,NBI_TENENCIA,NBI_TRABAJO_PRECARIO,NBI_VIVIENDA,NBI_ZONA_VULNERABLE,DESERTO
6441,1,4,1,2022,2,40,23,275,3,2,17,5,2,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,3,1,1,2,1,1,1,1,2,2,2,4,3,2,1,2,2,1,1,1.0,1,2,2,2,2,2,2,2,1,2,2,1,2,6,1,5,200000,5,1,1,55,1,6,0,2,0.0,0.0,2.0,1,2.0,2.0,1,0,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
4222,1,2,1,2022,2,40,23,234,3,2,17,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,2,2,2,1,1,1,2,1,1,2,2,2,4,1,2,1,2,2,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,35000,2,1,2,51,1,5,0,3,2.0,2.0,1.0,1,0.0,0.0,1,0,1,0,0.5,0,0,0.0,0,0,0,0,0,0,0
170,1,4,1,2021,2,40,25,194,3,2,26,5,4,1,1,1.0,1,1,1,3,0,0,0,2.0,2.0,2.0,2,0,5,0,1,1,3,1,2,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,2,1,2,1.0,1,1,2,2,2,2,2,2,2,2,2,1,1,3,0,3,24650,1,1,1,57,3,2,0,0,0.0,0.0,0.0,1,2.0,3.0,0,0,0,0,0.3333333333333333,0,0,0.0,0,0,0,1,0,0,0
5042,1,3,1,2021,2,40,19,219,3,1,21,5,4,1,1,1.0,1,1,2,3,0,0,0,,,,0,0,5,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,4,2,1.0,1,2,2,2,2,1,2,2,2,2,2,1,1,4,0,4,31200,1,1,1,37,1,4,0,2,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.5,0,0,0.0,1,0,0,0,0,1,0
5882,1,2,1,2021,2,40,29,436,3,2,24,5,1,1,1,1.0,1,1,3,0,3,5,2,,,,0,0,5,0,1,1,4,1,4,1,1,1,1,1,1,1,2,2,2,4,2,2,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,118000,9,1,1,53,1,5,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,0,0,0.5,0,0,0.0,0,0,0,0,0,0,0
2017,1,4,1,2021,2,43,36,163,3,2,14,5,1,1,1,2.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,1,2,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,2,5,0,5,45000,2,1,2,47,3,4,0,0,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.2,0,0,0.0,0,0,0,0,0,0,0
7287,1,3,1,2022,2,40,23,253,3,2,14,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,1,2,4,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,2,1,3,0,3,45000,2,1,1,59,1,3,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,0,0,0.3333333333333333,0,0,0.0,1,0,0,0,0,0,0
2660,1,3,1,2021,3,43,36,80,3,2,14,5,4,1,1,1.0,4,1,3,0,3,0,2,,,,0,0,3,0,1,1,2,2,4,2,1,1,1,1,1,3,1,2,1,2,2,2,1,2,2,2,2,1.0,1,2,2,2,2,1,1,2,2,2,2,1,2,5,1,4,49800,2,1,2,35,3,1,0,0,0.0,0.0,0.0,1,1.0,1.0,0,1,1,0,0.2,0,0,0.0,0,0,0,0,0,1,0
5478,1,3,1,2022,2,40,25,163,5,1,18,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,4,3,2,1,1,1,1,1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,0,3,105000,5,1,1,93,3,2,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
2211,1,1,1,2021,2,41,12,444,1,1,27,5,4,1,1,1.0,2,1,1,3,0,0,0,2.0,2.0,2.0,3,0,5,0,1,2,2,1,9,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,3,2,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,19000,4,1,1,27,1,5,0,3,2.0,2.0,2.0,1,0.0,0.0,1,0,0,0,1.0,0,0,0.0,0,0,1,1,0,0,0
