,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__n_neighbors,param_classifier__criterion,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__depth,param_classifier__iterations,param_classifier__verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,0.04810376167297363,0.007014702960198157,0.005270767211914063,0.0008800278685693884,DecisionTreeClassifier(),,gini,22,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 22}",0.2905405405405405,0.2677966101694915,0.28135593220338984,0.2635135135135135,0.27364864864864863,0.27537104901511683,0.009663045430271813,8
16,0.0363365650177002,0.0006858498314342234,0.004386758804321289,0.0005526896597889786,DecisionTreeClassifier(),,gini,24,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 24}",0.27702702702702703,0.27796610169491526,0.2677966101694915,0.2533783783783784,0.28378378378378377,0.2719903802107192,0.01062220076643098,10
17,0.04182701110839844,0.007534532729818656,0.004916238784790039,0.0009242862006697741,DecisionTreeClassifier(),,gini,26,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 26}",0.27364864864864863,0.29491525423728815,0.3050847457627119,0.2702702702702703,0.2939189189189189,0.2875675675675676,0.013372452975932793,1
18,0.03597626686096191,0.0016225932122422304,0.004234695434570312,0.00020377671521906612,DecisionTreeClassifier(),,gini,28,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 28}",0.2939189189189189,0.2847457627118644,0.2711864406779661,0.30067567567567566,0.28716216216216217,0.28753779202931745,0.009885605531361216,2
19,0.041815900802612306,0.005807966421087132,0.005011844635009766,0.0010436897454103372,DecisionTreeClassifier(),,gini,30,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 30}",0.27364864864864863,0.3016949152542373,0.27796610169491526,0.2702702702702703,0.30743243243243246,0.28620247366010076,0.01529704773114483,4
20,0.03629236221313477,0.001723381215785595,0.004383373260498047,0.0002390053870967528,DecisionTreeClassifier(),,gini,32,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 32}",0.2702702702702703,0.29491525423728815,0.288135593220339,0.26013513513513514,0.3108108108108108,0.28485341273476866,0.01794135540962387,5
21,0.03742294311523438,0.0011948128321655426,0.004719924926757812,0.0006224811942065811,DecisionTreeClassifier(),,gini,34,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'gini', 'classifier__max_depth': 34}",0.2702702702702703,0.2542372881355932,0.29152542372881357,0.2635135135135135,0.30067567567567566,0.27604443426477326,0.01739123719139648,7
22,0.02089977264404297,0.0008886291019067916,0.003810882568359375,0.00011016011701859669,DecisionTreeClassifier(),,entropy,8,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 8}",0.10472972972972973,0.08135593220338982,0.13898305084745763,0.12162162162162163,0.1858108108108108,0.1265002290426019,0.03524011616808855,65
23,0.024738502502441407,0.0010179322979545836,0.004002141952514649,0.00020074988203824557,DecisionTreeClassifier(),,entropy,10,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 10}",0.10810810810810811,0.14915254237288136,0.12542372881355932,0.16891891891891891,0.20608108108108109,0.1515368758589098,0.03420773335781286,36
24,0.028453302383422852,0.0009251529169200654,0.004212284088134765,0.00024811705486517215,DecisionTreeClassifier(),,entropy,12,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 12}",0.14189189189189189,0.17627118644067796,0.17966101694915254,0.16216216216216217,0.21283783783783783,0.1745648190563445,0.023302587653691826,30
25,0.03213753700256348,0.0012741912562476304,0.004084014892578125,0.00033299575990808735,DecisionTreeClassifier(),,entropy,14,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 14}",0.18243243243243243,0.21016949152542372,0.17966101694915254,0.19932432432432431,0.23310810810810811,0.2009390746678882,0.019585230525203955,21
26,0.04102215766906738,0.005400041192293909,0.0059832572937011715,0.0012662430138160982,DecisionTreeClassifier(),,entropy,16,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 16}",0.20945945945945946,0.23728813559322035,0.19322033898305085,0.21283783783783783,0.24662162162162163,0.21988547869903802,0.019427169635945873,20
27,0.041493892669677734,0.006928811393372631,0.004649829864501953,0.0006409249359490548,DecisionTreeClassifier(),,entropy,18,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 18}",0.23986486486486486,0.2745762711864407,0.22033898305084745,0.24324324324324326,0.25675675675675674,0.2469560238204306,0.018063601882935012,17
28,0.03701772689819336,0.001532876343539725,0.004252195358276367,0.00018705471460961468,DecisionTreeClassifier(),,entropy,20,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 20}",0.24324324324324326,0.24067796610169492,0.2135593220338983,0.22972972972972974,0.27702702702702703,0.24084745762711862,0.020894860496364964,18
29,0.037783050537109376,0.0010857654612336286,0.004252433776855469,0.0002503088977809538,DecisionTreeClassifier(),,entropy,22,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 22}",0.2635135135135135,0.26101694915254237,0.25084745762711863,0.24324324324324326,0.24324324324324326,0.25237288135593217,0.008577424958956852,16
30,0.037922000885009764,0.0004872652749328218,0.004021787643432617,0.00014865918253639893,DecisionTreeClassifier(),,entropy,24,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 24}",0.26013513513513514,0.27796610169491526,0.2542372881355932,0.23986486486486486,0.23986486486486486,0.2544136509390747,0.01421843011247557,15
31,0.03802289962768555,0.0006506098115724656,0.004327583312988281,0.00023861235373471906,DecisionTreeClassifier(),,entropy,26,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 26}",0.27364864864864863,0.29152542372881357,0.2440677966101695,0.25,0.23986486486486486,0.25982134677049934,0.01969384237825887,12
32,0.04357333183288574,0.005766229751053755,0.005074071884155274,0.0010300725358702084,DecisionTreeClassifier(),,entropy,28,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 28}",0.27364864864864863,0.31186440677966104,0.3016949152542373,0.28716216216216217,0.25675675675675674,0.2862253779202932,0.01961691975487422,3
33,0.039100265502929686,0.0011326563017789028,0.004201507568359375,0.0001596660298328542,DecisionTreeClassifier(),,entropy,30,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 30}",0.25675675675675674,0.2677966101694915,0.2677966101694915,0.28040540540540543,0.24662162162162163,0.2638754008245534,0.011422441131773424,11
34,0.0396087646484375,0.0011902218000838837,0.004368877410888672,0.00024279940336102148,DecisionTreeClassifier(),,entropy,32,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 32}",0.28040540540540543,0.2847457627118644,0.2745762711864407,0.2905405405405405,0.2533783783783784,0.2767292716445259,0.01279397408374853,6
35,0.03912029266357422,0.0010256500431315718,0.004200601577758789,0.00030877691706453014,DecisionTreeClassifier(),,entropy,34,,,,,"{'classifier': DecisionTreeClassifier(), 'classifier__criterion': 'entropy', 'classifier__max_depth': 34}",0.25,0.288135593220339,0.2677966101694915,0.27702702702702703,0.28378378378378377,0.2733486028401283,0.013542974322731969,9
36,0.07636160850524902,0.011193384277623685,0.009580659866333007,0.0019950749278862673,RandomForestClassifier(),,gini,,8,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'gini', 'classifier__n_estimators': 8}",0.125,0.1016949152542373,0.1423728813559322,0.14189189189189189,0.14189189189189189,0.13057031607879066,0.015877492868214653,64
37,0.09728460311889649,0.008357533387801023,0.009006738662719727,0.00031825995939626387,RandomForestClassifier(),,gini,,12,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'gini', 'classifier__n_estimators': 12}",0.15878378378378377,0.1288135593220339,0.11864406779661017,0.16554054054054054,0.18243243243243243,0.15084287677508018,0.02366023447893723,40
38,0.12283768653869628,0.001226048580434736,0.01092672348022461,0.0011102741248965814,RandomForestClassifier(),,gini,,16,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'gini', 'classifier__n_estimators': 16}",0.16216216216216217,0.14576271186440679,0.13559322033898305,0.13175675675675674,0.15878378378378377,0.1468117269812185,0.012104325316058,46
39,0.1603724479675293,0.0150953588501033,0.012819910049438476,0.001310570136252912,RandomForestClassifier(),,gini,,20,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'gini', 'classifier__n_estimators': 20}",0.15202702702702703,0.1152542372881356,0.15932203389830507,0.13851351351351351,0.1891891891891892,0.15086120018323407,0.02434050440451439,39
